Guiterrez,22.8,4.3,5.302325581
Massa,62.8,13.2,4.757575758
Pic,19.2,4.1,4.682926829
Raikkonen,102.4,22.2,4.612612613
Bianchi,13.6,3.1,4.387096774
Sutil,16.6,3.8,4.368421053
Rosberg,50.4,12.1,4.165289256
Di Resta,33.6,8.2,4.097560976
Vettell,118,29,4.068965517
Alonso,90.8,23.1,3.930735931
Webber,53.6,13.7,3.912408759
Bottas,18.25,4.8,3.802083333
Hamilton,74,19.6,3.775510204
Grosjean,41.2,11.3,3.646017699
Van der Garde,10.8,3,3.6
Chilton,10.8,3,3.6
Vergne,14.2,4.6,3.086956522
Perez,28.6,9.5,3.010526316
Ricciardo,11.8,4.5,2.622222222
Hulkenberg,13.8,5.7,2.421052632
Button,28.4,12.1,2.347107438
Maldonado,10.6,4.9,2.163265306
